gpu_count,baseline_wait,rl_wait,gpu_group
1,16.55,0.6166666666666667,1
1,17.283333333333335,0.25,1
1,18.883333333333333,0.3333333333333333,1
1,19.0,0.18333333333333332,1
1,18.983333333333334,0.16666666666666666,1
1,19.033333333333335,0.1,1
1,19.183333333333334,0.016666666666666666,1
8,1401.4666666666667,0.15,8
1,19.45,0.8833333333333333,1
1,19.433333333333334,0.85,1
1,19.516666666666666,0.7166666666666667,1
1,19.8,0.5,1
1,20.25,0.9333333333333333,1
1,20.566666666666666,0.31666666666666665,1
1,21.016666666666666,0.8333333333333334,1
1,20.95,0.4,1
1,21.05,0.26666666666666666,1
1,1.9166666666666667,0.7333333333333333,1
1,2.3833333333333333,0.5833333333333334,1
1,40.88333333333333,0.26666666666666666,1
1,20.95,0.16666666666666666,1
1,21.166666666666668,0.016666666666666666,1
1,21.1,0.8833333333333333,1
1,21.116666666666667,0.8666666666666667,1
1,21.066666666666666,0.5,1
1,21.066666666666666,0.16666666666666666,1
1,70.0,0.1,1
1,21.05,0.03333333333333333,1
1,21.1,0.8666666666666667,1
1,21.25,0.7333333333333333,1
1,21.166666666666668,0.6,1
1,21.183333333333334,0.95,1
1,21.333333333333332,0.4166666666666667,1
1,2.9833333333333334,0.8666666666666667,1
1,21.3,0.8,1
1,21.383333333333333,0.6833333333333333,1
1,21.433333333333334,0.65,1
1,21.666666666666668,0.11666666666666667,1
1,1.4333333333333333,0.18333333333333332,1
1,20.383333333333333,0.38333333333333336,1
1,142.38333333333333,0.36666666666666664,1
1,8.683333333333334,0.5,1
1,8.666666666666666,0.9333333333333333,1
1,8.566666666666666,0.55,1
1,8.7,0.15,1
1,8.683333333333334,0.05,1
1,8.616666666666667,0.5666666666666667,1
1,8.616666666666667,0.43333333333333335,1
1,8.566666666666666,0.0,1
1,8.583333333333334,0.8666666666666667,1
1,8.533333333333333,0.7166666666666667,1
1,8.55,0.7,1
1,8.65,0.6333333333333333,1
1,8.566666666666666,0.43333333333333335,1
1,8.483333333333333,0.26666666666666666,1
1,0.016666666666666666,0.8833333333333333,1
1,8.433333333333334,0.016666666666666666,1
1,8.416666666666666,0.6833333333333333,1
1,8.366666666666667,0.9666666666666667,1
1,8.266666666666667,0.6833333333333333,1
1,8.133333333333333,0.85,1
1,2.4166666666666665,0.4,1
1,2.4166666666666665,0.2,1
1,2.316666666666667,0.8166666666666667,1
1,2.3333333333333335,0.8,1
1,2.1666666666666665,0.4,1
1,2.1333333333333333,0.25,1
1,1.7666666666666666,0.3333333333333333,1
1,1.4666666666666666,0.75,1
1,1.3,0.43333333333333335,1
1,1.2833333333333334,0.4,1
1,1.2666666666666666,0.35,1
1,1.1333333333333333,0.9833333333333333,1
1,0.8666666666666667,0.5,1
1,0.5666666666666667,0.7833333333333333,1
1,0.5666666666666667,0.75,1
1,0.21666666666666667,0.9166666666666666,1
1,0.16666666666666666,0.8333333333333334,1
1,143.71666666666667,0.21666666666666667,1
1,0.0,0.23333333333333334,1
1,0.016666666666666666,0.1,1
1,0.03333333333333333,0.7833333333333333,1
1,0.0,0.6833333333333333,1
1,0.0,0.55,1
1,0.0,0.5166666666666667,1
1,51.45,0.23333333333333334,1
1,0.016666666666666666,0.7333333333333333,1
1,0.016666666666666666,0.5,1
1,15.85,0.31666666666666665,1
1,0.016666666666666666,0.9833333333333333,1
1,0.016666666666666666,0.6666666666666666,1
1,0.0,0.15,1
1,0.18333333333333332,0.9333333333333333,1
1,0.4,0.6166666666666667,1
1,0.36666666666666664,0.5666666666666667,1
1,0.38333333333333336,0.45,1
1,0.4,0.26666666666666666,1
1,0.36666666666666664,0.08333333333333333,1
1,0.45,0.0,1
1,0.4166666666666667,0.2,1
1,0.55,0.9,1
1,0.4,0.6333333333333333,1
1,0.38333333333333336,0.6,1
1,0.3,0.5833333333333334,1
1,0.4666666666666667,0.8666666666666667,1
1,0.48333333333333334,0.11666666666666667,1
1,0.4666666666666667,0.1,1
1,0.5,0.55,1
1,0.5,0.016666666666666666,1
1,0.48333333333333334,0.9166666666666666,1
1,0.5,0.7666666666666667,1
1,0.4666666666666667,0.6833333333333333,1
1,0.45,0.6666666666666666,1
1,0.48333333333333334,0.6166666666666667,1
1,0.0,0.1,1
1,0.0,0.43333333333333335,1
1,0.0,0.23333333333333334,1
1,146.25,0.95,1
1,0.11666666666666667,0.43333333333333335,1
1,0.0,0.7166666666666667,1
1,0.0,0.4166666666666667,1
1,1.8166666666666667,0.9833333333333333,1
1,1.7,0.8666666666666667,1
1,3.65,0.5833333333333334,1
