gpu_count,baseline_wait,rl_wait,gpu_group
1,9.966666666666667,0.4666666666666667,1
1,10.0,0.43333333333333335,1
1,10.133333333333333,0.38333333333333336,1
1,10.166666666666666,0.35,1
1,10.2,0.31666666666666665,1
1,10.3,0.3,1
1,10.3,0.25,1
1,10.366666666666667,0.23333333333333334,1
1,10.433333333333334,0.2,1
1,10.416666666666666,0.16666666666666666,1
1,10.433333333333334,0.15,1
1,10.4,0.11666666666666667,1
1,10.55,0.1,1
1,10.683333333333334,0.06666666666666667,1
1,10.366666666666667,0.7,1
1,10.433333333333334,0.6833333333333333,1
1,10.45,0.65,1
1,10.45,0.6166666666666667,1
1,10.5,0.6,1
1,10.733333333333333,0.5666666666666667,1
1,10.783333333333333,0.55,1
1,10.75,0.5166666666666667,1
1,10.8,0.48333333333333334,1
1,10.8,0.45,1
1,10.816666666666666,0.4166666666666667,1
1,10.85,0.4,1
1,10.866666666666667,0.36666666666666664,1
1,10.866666666666667,0.3333333333333333,1
1,10.833333333333334,0.3,1
1,10.666666666666666,0.13333333333333333,1
1,10.75,0.1,1
1,10.75,0.06666666666666667,1
1,10.833333333333334,0.03333333333333333,1
1,10.833333333333334,0.0,1
1,10.9,0.9833333333333333,1
1,10.9,0.9666666666666667,1
1,10.883333333333333,0.95,1
1,10.533333333333333,0.5666666666666667,1
1,10.5,0.5333333333333333,1
1,10.516666666666667,0.5166666666666667,1
1,0.0,0.31666666666666665,1
1,0.016666666666666666,0.3,1
1,0.016666666666666666,0.1,1
1,0.0,0.06666666666666667,1
1,0.03333333333333333,0.05,1
1,1.1666666666666667,0.03333333333333333,1
1,4.866666666666666,0.0,1
1,6.366666666666666,0.8,1
1,6.383333333333334,0.6,1
1,8.35,0.35,1
1,8.35,0.31666666666666665,1
1,8.483333333333333,0.3,1
1,7.433333333333334,0.23333333333333334,1
1,7.416666666666667,0.18333333333333332,1
1,7.383333333333334,0.15,1
1,5.966666666666667,0.6,1
1,5.933333333333334,0.5666666666666667,1
1,5.933333333333334,0.55,1
1,0.03333333333333333,0.18333333333333332,1
1,4.433333333333334,0.9666666666666667,1
